feature,importance,importance_share,feature_type
pixel_r12_c22,16.0,0.0017777777777777779,pixel
pixel_r13_c09,16.0,0.0017777777777777779,pixel
pixel_r16_c21,16.0,0.0017777777777777779,pixel
pixel_r13_c21,16.0,0.0017777777777777779,pixel
pixel_r11_c10,15.0,0.0016666666666666668,pixel
pixel_r15_c16,15.0,0.0016666666666666668,pixel
pixel_r19_c13,15.0,0.0016666666666666668,pixel
pixel_r19_c14,15.0,0.0016666666666666668,pixel
pixel_r27_c23,15.0,0.0016666666666666668,pixel
pixel_r29_c12,15.0,0.0016666666666666668,pixel
pixel_r17_c28,15.0,0.0016666666666666668,pixel
pixel_r17_c14,15.0,0.0016666666666666668,pixel
pixel_r14_c24,15.0,0.0016666666666666668,pixel
pixel_r02_c14,15.0,0.0016666666666666668,pixel
pixel_r28_c17,15.0,0.0016666666666666668,pixel
pixel_r16_c09,15.0,0.0016666666666666668,pixel
pixel_r21_c15,15.0,0.0016666666666666668,pixel
pixel_r07_c22,15.0,0.0016666666666666668,pixel
pixel_r22_c20,15.0,0.0016666666666666668,pixel
pixel_r10_c25,15.0,0.0016666666666666668,pixel
pixel_r10_c12,15.0,0.0016666666666666668,pixel
pixel_r23_c12,15.0,0.0016666666666666668,pixel
pixel_r12_c14,15.0,0.0016666666666666668,pixel
pixel_r24_c04,14.0,0.0015555555555555555,pixel
pixel_r03_c21,14.0,0.0015555555555555555,pixel
pixel_r29_c11,14.0,0.0015555555555555555,pixel
pixel_r22_c12,14.0,0.0015555555555555555,pixel
pixel_r18_c07,14.0,0.0015555555555555555,pixel
pixel_r21_c09,14.0,0.0015555555555555555,pixel
pixel_r21_c18,14.0,0.0015555555555555555,pixel
pixel_r05_c12,14.0,0.0015555555555555555,pixel
pixel_r14_c09,14.0,0.0015555555555555555,pixel
pixel_r13_c24,14.0,0.0015555555555555555,pixel
pixel_r25_c09,13.0,0.0014444444444444444,pixel
pixel_r19_c21,13.0,0.0014444444444444444,pixel
pixel_r22_c18,13.0,0.0014444444444444444,pixel
pixel_r11_c21,13.0,0.0014444444444444444,pixel
pixel_r04_c10,13.0,0.0014444444444444444,pixel
pixel_r29_c18,13.0,0.0014444444444444444,pixel
pixel_r20_c15,13.0,0.0014444444444444444,pixel
pixel_r14_c03,13.0,0.0014444444444444444,pixel
pixel_r17_c12,13.0,0.0014444444444444444,pixel
pixel_r12_c26,13.0,0.0014444444444444444,pixel
pixel_r03_c09,13.0,0.0014444444444444444,pixel
pixel_r28_c22,13.0,0.0014444444444444444,pixel
pixel_r24_c21,13.0,0.0014444444444444444,pixel
pixel_r25_c12,13.0,0.0014444444444444444,pixel
pixel_r23_c20,13.0,0.0014444444444444444,pixel
pixel_r10_c17,13.0,0.0014444444444444444,pixel
pixel_r21_c25,13.0,0.0014444444444444444,pixel
pixel_r17_c08,13.0,0.0014444444444444444,pixel
pixel_r17_c07,13.0,0.0014444444444444444,pixel
pixel_r24_c25,13.0,0.0014444444444444444,pixel
pixel_r15_c07,12.0,0.0013333333333333333,pixel
pixel_r28_c18,12.0,0.0013333333333333333,pixel
pixel_r12_c20,12.0,0.0013333333333333333,pixel
pixel_r08_c20,12.0,0.0013333333333333333,pixel
pixel_r23_c11,12.0,0.0013333333333333333,pixel
pixel_r24_c06,12.0,0.0013333333333333333,pixel
pixel_r21_c04,12.0,0.0013333333333333333,pixel
pixel_r25_c25,12.0,0.0013333333333333333,pixel
pixel_r16_c25,12.0,0.0013333333333333333,pixel
pixel_r12_c18,12.0,0.0013333333333333333,pixel
pixel_r25_c16,12.0,0.0013333333333333333,pixel
pixel_r13_c23,12.0,0.0013333333333333333,pixel
