variable,label,prob_defect,brightness,contrast,top_region_intensity,low_region_intensity
label,1.0,0.9846359665132594,-0.6592793197533549,-0.5087960055725593,-0.4397827648551945,-0.5703755901424004
prob_defect,0.9846359665132594,1.0,-0.6744923224407199,-0.5157161135264258,-0.4560461357690672,-0.5851702444725096
brightness,-0.6592793197533549,-0.6744923224407199,1.0,0.5501974210787617,0.5869136390747319,0.8269781485823466
contrast,-0.5087960055725593,-0.5157161135264258,0.5501974210787617,1.0,0.35970578652243146,0.27465685388103084
top_region_intensity,-0.4397827648551945,-0.4560461357690672,0.5869136390747319,0.35970578652243146,1.0,0.41991098716843717
low_region_intensity,-0.5703755901424004,-0.5851702444725096,0.8269781485823466,0.27465685388103084,0.41991098716843717,1.0
